Peak    , Trough  , Contraction, Expansion, TroughCycle, PeakCycle
        , 18541231, NaN, NaN, NaN, NaN
18570601, 18581231, 18, 30, 48, NaN
18601001, 18610630, 8, 22, 30, 40
18650401, 18671231, 32, 46, 78, 54
18690601, 18701231, 18, 18, 36, 50
18731001, 18790331, 65, 34, 99, 52
18820301, 18850531, 38, 36, 74, 101
18870301, 18880430, 13, 22, 35, 60
18900701, 18910531, 10, 27, 37, 40
18930101, 18940630, 17, 20, 37, 30
18951201, 18970630, 18, 18, 36, 35
18990601, 19001231, 18, 24, 42, 42
19020901, 19040831, 23, 21, 44, 39
19070501, 19080630, 13, 33, 46, 56
19100101, 19120131, 24, 19, 43, 32
19130101, 19141231, 23, 12, 35, 36
19180801, 19190331, 7, 44, 51, 67
19200101, 19210731, 18, 10, 28, 17
19230501, 19240731, 14, 22, 36, 40
19261001, 19271130, 13, 27, 40, 41
19290801, 19330331, 43, 21, 64, 34
19370501, 19380630, 13, 50, 63, 93
19450201, 19451031, 8, 80, 88, 93
19481101, 19491031, 11, 37, 48, 45
19530701, 19540531, 10, 45, 55, 56
19570801, 19580430, 8, 39, 47, 49
19600401, 19610228, 10, 24, 34, 32
19691201, 19701130, 11, 106, 117, 116
19731101, 19750331, 16, 36, 52, 47
19800101, 19800731, 6, 58, 64, 74
19810701, 19821130, 16, 12, 28, 18
19900701, 19910331, 8, 92, 100, 108
20010301, 20011130, 8, 120, 128, 128
20071201, 20090630, 18, 73, 91, 81
